idx,layer,type,cond_32,cond_4,var_32,var_4,cosine_sim,dead_neuron_ratio,SNR,KL,SFR,magnitude_loss,RelErr,mse_error,inherited_error,error_delta,error_propagation,sensitivity_W4A8,instability_shap,shap_magnitude
1,stem.0,Conv2d,406.3344727,443.5449829,0.378245026,0.378151268,0.999987662,,43.09951677,0.013052936,0.065332033,0.00225137,0.006994086,0.000162006,,0.006994086,,2.9,2.008333333,3.953975014
2,stem.1,BatchNorm2d,,,2.3931849,2.367050648,0.999675632,,35.52719308,0.016025819,0,0.000105485,0.011990974,0.001067279,0.006994086,0.004996887,1.714444629,0.1,0.976166667,5.787671481
3,stem.2,ReLU,,,,,,0.377250701,35.52719308,0.016025819,0,0.000105485,0.011990974,0.001067279,0.011990974,0,1,0.08,0.609666667,5.643093539
4,trunk_output.block1.block1-0.proj.0,Conv2d,33.00488663,27.7153244,0.029328499,0.029006807,0.995667458,,22.34598526,0.032087401,0.01665039,0.000244176,0.076246075,0.072889619,0.011990974,0.064255102,6.3586225,0.1,2.184833333,7.615854743
5,trunk_output.block1.block1-0.proj.1,BatchNorm2d,,,1.872766614,1.866443515,0.997342288,,22.41146914,0.042053107,0.026269531,0.000537214,0.071774617,0.033411071,0.076246075,-0.004471458,0.941354903,-0.06,0.9335,6.295465759
6,trunk_output.block1.block1-0.f.a.0,Conv2d,84.84066772,37.02603912,0.048353218,0.047665726,0.994612634,,17.77966315,0.11386998,0.055859376,0.000148928,0.097663134,0.167985082,0.071774617,0.025888517,1.360691824,0.54,1.261666667,6.4050721
7,trunk_output.block1.block1-0.f.a.1,BatchNorm2d,,,1.007910252,1.010167003,0.999571443,,13.73112424,0.057467569,0.000341797,0.000595948,0.131621614,0.043652214,0.097663134,0.03395848,1.347710321,-0.12,0.449,4.583602631
8,trunk_output.block1.block1-0.f.a.2,ReLU,,,,,,0.381597221,13.73112424,0.057467569,0.000341797,0.000595948,0.131621614,0.043652214,0.131621614,0,1,-0.08,-0.0655,3.719345006
9,trunk_output.block1.block1-0.f.b.0,Conv2d,8.799165726,8.184980392,0.023819018,0.023487147,0.992538631,,9.574727751,0.089608759,0.180615231,0.000586224,0.305327058,0.27443406,0.131621614,0.173705444,2.319733426,2.24,9.438,11.81272113
10,trunk_output.block1.block1-0.f.b.1,BatchNorm2d,,,0.797891855,0.797189951,0.999675512,,18.37585601,0.194297403,0,4.88E-05,0.086798035,0.082991742,0.305327058,-0.218529023,0.284278882,0.02,0.073,4.516943464
11,trunk_output.block1.block1-0.f.b.2,ReLU,,,,,,0.351178318,18.37585601,0.194297403,0,4.88E-05,0.086798035,0.082991742,0.086798035,0,1,-0.04,0.519333333,5.974276797
