idx,layer,type,cond_32,cond_4,var_32,var_4,cosine_sim,dead_neuron_ratio,RelErr,SNR,KL,inherited_error,error_delta,REAR,SFR,magnitude_loss,mse_error,instability_pca,rf_predicted_error,sensitivity_W4A8
1,conv1,Conv2d,49137528.0,6.922845613037978e+16,0.015182722359895706,0.015174920670688152,0.9999641180038452,,0.008326699025928974,41.58946195100298,0.0007001854246482253,,0.008326699025928974,,0.03227538987994194,10.0,5.276572846923955e-05,0.2885847547405896,0.00786327444948256,9.5
2,bn1,BatchNorm2d,,,0.007444239687174559,0.007688102778047323,0.9994213581085205,,0.0068406835198402405,39.42032942727661,0.005174539517611265,0.008326699025928974,-0.0014860155060887337,0.8215360611136121,0.0,1.0,5.685858468496008e-06,-0.7712662752736588,-0.005128061817958951,0.3499999999999943
3,relu,ReLU,,,,,,0.1903853714466095,0.0068406835198402405,39.42032942727661,0.005174539517611265,0.0068406835198402405,0.0,1.0,0.0,1.0,5.685858468496008e-06,-1.9997345933534247,-0.0009342074549446504,0.25
4,maxpool,MaxPool2d,,,,,,,0.005308834835886955,40.016557376333985,0.003420454217121005,0.0068406835198402405,-0.0015318486839532852,0.7760678915329998,0.0,0.0,6.063980436010752e-06,-1.8860934050237677,-0.007746711396612227,0.25
5,layer1.0.conv1,Conv2d,1082914432.0,4.378936999013253e+19,0.005016849841922522,0.004904937464743853,0.9890046715736389,,0.08944246917963028,20.243069379738557,0.04904071241617203,0.005308834835886955,0.08413363434374332,16.847853049601795,0.09946288913488388,7.0,0.0012210500426590443,3.4980105882630106,0.0910600199829787,1.0499999999999972
6,layer1.0.bn1,BatchNorm2d,,,0.00820225290954113,0.00812678411602974,0.9994583129882812,,0.13946853578090668,14.597892710105612,0.03697589039802551,0.08944246917963028,0.0500260666012764,1.5593099906578762,0.0005371093866415322,21.0,0.00045399897499009967,0.3462311480751113,0.05170989998926719,-0.15000000000000568
7,layer1.0.relu,ReLU,,,,,,0.4031311869621277,0.7495297789573669,-0.3215319219475665,0.0710587203502655,0.13946853578090668,0.6100612431764603,5.3741854731651815,0.05776367336511612,684.0,0.018109185621142387,1.274868307974495,0.5998005319386721,0.0
8,layer1.0.conv2,Conv2d,19575612.0,1.3515984453825987e+18,0.0008496731170453131,0.0008167183259502053,0.9796311855316162,,0.21664918959140778,13.168859670144483,0.09394718706607819,0.7495297789573669,-0.5328805893659592,0.2890468073100145,0.11127929389476776,17.0,0.0017525075236335397,-2.152534138922843,-0.5211108880738418,0.5
9,layer1.0.bn2,BatchNorm2d,,,0.0030392466578632593,0.002992309397086501,0.9993961453437805,,0.15355446934700012,12.851449859096997,0.05331515520811081,0.21664918959140778,-0.06309472024440765,0.7087701072715669,0.0005371093866415322,22.0,0.001028814585879445,-0.6535255927532453,-0.06411773674190044,0.0
10,layer1.0.conv3,Conv2d,23647566.0,inf,0.0012437532423064113,0.0012139558093622327,0.9904194474220276,,0.20406125485897064,13.802328044438275,0.010881725698709488,0.15355446934700012,0.05050678551197052,1.328917717125094,0.07947997748851776,120.0,0.00019294598314445466,-0.9215971933488185,0.05125222940308352,1.4500000000000028
11,layer1.0.bn3,BatchNorm2d,,,0.010566039942204952,0.010538921691477299,0.9983574151992798,,0.8727280497550964,-2.57208263954491,0.6010175347328186,0.20406125485897064,0.6686667948961258,4.276794486823332,0.4315551817417145,50.0,0.020863592624664307,3.738507928884811,0.7043928490330775,-0.04999999999999716
12,layer1.0.downsample.0,Conv2d,27752588.0,1.1183679085949747e+17,0.003306720405817032,0.0032287724316120148,0.9900001287460327,,0.11152606457471848,18.530388640870484,0.009171192534267902,0.8727280497550964,-0.761201985180378,0.1277901685479397,0.03106689453125,47.0,0.0013798734871670604,-2.0703140746449273,-0.7647362029800813,52.449999999999996
13,layer1.0.downsample.1,BatchNorm2d,,,0.012968502007424831,0.013055238872766495,0.9993045330047607,,0.3876345753669739,8.09928638645885,0.006577175576239824,0.11152606457471848,0.2761085107922554,3.4757307795728107,0.07966308295726776,25.0,0.0030246099922806025,2.112127484808774,0.2702286814029018,0.04999999999999716
14,layer1.1.conv1,Conv2d,9197827.0,8.250399903784632e+17,0.0009378583636134863,0.0009176439489237964,0.9891595244407654,,0.20524555444717407,13.653099849429822,0.06371310353279114,0.3876345753669739,-0.1823890209197998,0.5294820624627408,0.10219726711511612,7.0,0.0007536942139267921,-1.3619612355717048,-0.19594750156005222,0.0
15,layer1.1.bn1,BatchNorm2d,,,0.005254080984741449,0.005234580021351576,0.9994024038314819,,0.19955775141716003,11.216399006976236,0.07689960300922394,0.20524555444717407,-0.005687803030014038,0.9722878137588215,0.0023437500931322575,42.0,0.0005290944827720523,-0.11382775812062867,-0.005290315626189113,0.0
16,layer1.1.relu,ReLU,,,,,,0.5493094325065613,0.6419538855552673,0.6637335440792353,0.09749726951122284,0.19955775141716003,0.4423961341381073,3.216882736934194,0.02836913987994194,616.0,0.005876307841390371,0.640235074998018,0.4373498405019442,0.04999999999999716
17,layer1.1.conv2,Conv2d,7.552455425262451,7.080572128295898,0.0008300376939587295,0.0008039684616960585,0.9839376211166382,,0.3117106556892395,9.538526651177056,0.13124948740005493,0.6419538855552673,-0.33024322986602783,0.485565494193747,0.10341797024011612,17.0,0.000996314687654376,-1.5807849408588435,-0.329734809945027,0.6499999999999915
18,layer1.1.bn2,BatchNorm2d,,,0.001198365120217204,0.0012209208216518164,0.999842643737793,,0.2679344713687897,7.8752536135660165,0.08333928883075714,0.3117106556892395,-0.04377618432044983,0.8595614762554266,0.001220703125,68.0,0.0011030205059796572,-0.6395643796111045,-0.046413325642546015,0.0
19,layer1.1.conv3,Conv2d,10.54167366027832,10.209065437316895,0.0010588816367089748,0.0010366208152845502,0.9911359548568726,,0.2996419072151184,10.463212395146362,0.02060740999877453,0.2679344713687897,0.031707435846328735,1.1183402631410053,0.12398681789636612,104.0,0.0001191457049571909,-0.7689259585194604,0.031959926585356395,0.14999999999999147
20,layer1.1.bn3,BatchNorm2d,,,0.0046438248828053474,0.004752018954604864,0.998078465461731,,0.9649214148521423,-4.287212022982799,2.405749797821045,0.2996419072151184,0.6652795076370239,3.2202485420686084,0.4134521484375,202.0,0.0322432704269886,3.580509279407832,0.6681572147955497,0.04999999999999716
21,layer1.2.conv1,Conv2d,11.183540344238281,10.552902221679688,0.0009048233623616397,0.000890578085090965,0.9912497997283936,,0.1818861961364746,14.8025585402842,0.06511407345533371,0.9649214148521423,-0.7830352187156677,0.18849845524917233,0.06220703199505806,9.0,0.00055002945009619,-2.1929800343214647,-0.8241189363722999,0.20000000000000284
22,layer1.2.bn1,BatchNorm2d,,,0.0008610971854068339,0.0009056076523847878,0.9998868107795715,,0.22167618572711945,7.891478471956762,0.1213001161813736,0.1818861961364746,0.039789989590644836,1.218763108118382,0.0,0.0,0.00036797899520024657,-0.533689108132524,0.041318339233597116,0.04999999999999716
23,layer1.2.relu,ReLU,,,,,,0.5537949800491333,0.48250824213027954,0.664923810614282,0.26577335596084595,0.22167618572711945,0.2608320564031601,2.176635440327546,0.0,0.0,0.0015612540300935507,0.1978546226021413,0.2629882175475359,0.04999999999999716
24,layer1.2.conv2,Conv2d,6.060379981994629,5.825053691864014,0.0010096658952534199,0.0009900613222271204,0.9899879693984985,,0.21681104600429535,12.144127628040524,0.23379763960838318,0.48250824213027954,-0.2656971961259842,0.4493416424288879,0.07119140774011612,14.0,0.00021529458172153682,-1.370305958331007,-0.2611402668058872,0.3999999999999915
25,layer1.2.bn2,BatchNorm2d,,,0.0007177221123129129,0.0007036097231321037,0.9998779296875,,0.1673269271850586,8.62959083781663,0.14737635850906372,0.21681104600429535,-0.049484118819236755,0.771763848147034,0.0,0.0,0.0001626325974939391,-0.7801459120047531,-0.04863644962509473,-0.04999999999999716
26,layer1.2.conv3,Conv2d,10.60918140411377,10.260059356689453,0.0009663617238402367,0.0009499494917690754,0.9927106499671936,,0.1797524094581604,14.39984773659689,0.04496833309531212,0.1673269271850586,0.012425482273101807,1.074258713060329,0.12741699814796448,57.0,2.522609975130763e-05,-0.911376187448992,0.012633653186882535,0.45000000000000284
27,layer1.2.bn3,BatchNorm2d,,,0.007723973132669926,0.00789056345820427,0.9978430271148682,,1.0336917638778687,-5.7060458272086665,3.647202730178833,0.1797524094581604,0.8539393544197083,5.750642046990047,0.41351318359375,540.0,0.0406055822968483,5.373741875606532,0.8420019635309776,0.20000000000000284
28,layer2.0.conv1,Conv2d,28.31842041015625,26.207212448120117,0.0012545649660751224,0.0012218838091939688,0.9868683815002441,,0.2145109474658966,12.188967100082879,0.030861280858516693,1.0336917638778687,-0.819180816411972,0.20751925763746457,0.05537109449505806,20.0,0.0011033143382519484,-2.2878057102397586,-0.807969632682701,1.0
29,layer2.0.bn1,BatchNorm2d,,,0.0014608666533604264,0.0015128367813304067,0.999727189540863,,0.2783224582672119,5.031433085736988,0.06213770806789398,0.2145109474658966,0.06381151080131531,1.2974743786046639,0.0,1.0,0.00035205582389608026,-0.31931251614885886,0.061365257886548834,0.0
30,layer2.0.relu,ReLU,,,,,,0.6166086792945862,0.7228555679321289,-3.0915028186533453,1.1898802518844604,0.2783224582672119,0.444533109664917,2.5971873503579417,0.0,5.0,0.006539065390825272,1.1871290356326119,0.43911962658166886,0.0
31,layer2.0.conv2,Conv2d,6.450720310211182,5.896320343017578,0.0004968097782693803,0.00048650495591573417,0.9897159934043884,,0.28969231247901917,9.802970474459823,0.028219103813171387,0.7228555679321289,-0.43316325545310974,0.4007609892357075,0.09819336235523224,18.0,0.001035210327245295,-1.613638357812082,-0.4193451905002197,0.45000000000000284
32,layer2.0.bn2,BatchNorm2d,,,0.0010352045064792037,0.0010452886344864964,0.9999051690101624,,0.20475050806999207,7.8650277376913325,0.05698014050722122,0.28969231247901917,-0.0849418044090271,0.7067861287648806,0.0,0.0,0.0005246414802968502,-0.7836523420764588,-0.0780246431628863,-0.04999999999999716
33,layer2.0.conv3,Conv2d,10.562395095825195,9.674236297607422,0.00078864413080737,0.0007703645387664437,0.9884342551231384,,0.23265114426612854,12.665419709417877,0.009616445749998093,0.20475050806999207,0.027900636196136475,1.1362665053148435,0.08330688625574112,213.0,0.00012131374387536198,-1.0904729371213813,0.02652423925853024,0.5999999999999943
34,layer2.0.bn3,BatchNorm2d,,,0.007829584181308746,0.007853989489376545,0.9989281892776489,,0.8491716384887695,-1.728294597427114,1.3750654458999634,0.23265114426612854,0.616520494222641,3.6499783449051346,0.487823486328125,138.0,0.014958849176764488,3.5978126705220275,0.6289750573535761,0.0
35,layer2.0.downsample.0,Conv2d,78.1445083618164,58.08603286743164,0.0005343012744560838,0.0005140707362443209,0.9810381531715393,,0.23704500496387482,12.321066187314136,0.009270444512367249,0.8491716384887695,-0.6121266335248947,0.2791485186501666,0.08360596001148224,493.0,0.000736640184186399,-2.324108593430038,-0.5679084797700246,1.8999999999999915
